"brand","final_sale_sum","sum","category_2"
"TOSTITOS","181.30","38.00","Dips & Salsa"
"GOOD FOODS","94.91","9.00","Dips & Salsa"
"PACE","85.75","24.00","Dips & Salsa"
"FRITOS","67.16","20.00","Dips & Salsa"
"MARKETSIDE","65.22","16.00","Dips & Salsa"
"HELUVA GOOD!","53.98","15.00","Dips & Salsa"
"MARZETTI","51.14","11.00","Dips & Salsa"
"FRESHNESS GUARANTEED","46.66","12.00","Dips & Salsa"
"DEAN'S DAIRY DIP","39.95","17.00","Dips & Salsa"
"HIDDEN VALLEY RANCH","38.06","10.00","Dips & Salsa"
"KIRKLAND SIGNATURE","37.47","3.00","Dips & Salsa"
"SABRA","33.01","9.00","Dips & Salsa"
"HIDDEN VALLEY","31.26","16.00","Dips & Salsa"
"PRIVATE LABEL","30.25","9.00","Dips & Salsa"
"LAY'S","28.92","7.00","Dips & Salsa"
"MEMBER'S MARK","28.92","4.00","Dips & Salsa"
"HERDEZ","28.75","9.00","Dips & Salsa"
"FRESH CRAVINGS","24.94","7.00","Dips & Salsa"
"LITEHOUSE","23.44","4.00","Dips & Salsa"
"GORDO'S DIPS","19.92","4.00","Dips & Salsa"
"GOOD & GATHER","16.75","5.00","Dips & Salsa"
"WHOLLY","16.75","3.00","Dips & Salsa"
"YUCATAN","15.68","4.00","Dips & Salsa"
"GREAT VALUE","15.00","8.00","Dips & Salsa"
"MURRAY'S","13.04","2.00","Dips & Salsa"
"NUTELLA","12.98","1.00","Dips & Salsa"
"MRS WAGES","12.88","4.00","Dips & Salsa"
"NEWMANâ€™S OWN","11.48","4.00","Dips & Salsa"
"BOAR'S HEAD","9.48","2.00","Dips & Salsa"
"MATEO'S GOURMET SALSA","9.34","2.00","Dips & Salsa"
"MEIJER","9.18","2.00","Dips & Salsa"
"DEAN'S DAIRY","8.67","3.00","Dips & Salsa"
"ON THE BORDER SNACKS","7.49","2.00","Dips & Salsa"
"PRIVATE SELECTION","6.78","2.00","Dips & Salsa"
"TACO BELL GROCERY","6.45","2.00","Dips & Salsa"
"JULIOS","5.98","1.00","Dips & Salsa"
"DAISY","5.58","2.00","Dips & Salsa"
"SIGNATURE SELECT","5.49","1.00","Dips & Salsa"
"LA TERRA FINA","5.49","1.00","Dips & Salsa"
"WELLSLEY FARMS","5.49","1.00","Dips & Salsa"
"FODY","5.48","1.00","Dips & Salsa"
"PRAIRIE FARMS","5.34","3.00","Dips & Salsa"
"TASTE OF THE SOUTH","4.98","1.00","Dips & Salsa"
"MATEOS","4.67","1.00","Dips & Salsa"
"ESTI","3.99","1.00","Dips & Salsa"
"CLINTS","3.97","1.00","Dips & Salsa"
"FRESH CREATIONS","3.69","1.00","Dips & Salsa"
"O ORGANICS","3.59","1.00","Dips & Salsa"
"CHI-CHI'S","3.57","2.00","Dips & Salsa"
"FRITO-LAY","3.50","1.00","Dips & Salsa"
"BISON","3.29","1.00","Dips & Salsa"
"MISSION","3.28","1.00","Dips & Salsa"
"HILAND","3.25","2.00","Dips & Salsa"
"LA PREFERIDA","2.88","1.00","Dips & Salsa"
"CREAMLAND DAIRY","2.88","1.00","Dips & Salsa"
"ALWAYS SAVE","1.99","1.00","Dips & Salsa"
"ISADORA","1.74","1.00","Dips & Salsa"
"UTZ","1.25","1.00","Dips & Salsa"
"ZACCA","0.00","1.00","Dips & Salsa"
